HSLGOverallCumulativeGradePointAverage,HSLGMathematicsCumulativeGradePointAverage,CCENCRFLCollegeCode,CCENCRFLCourseMarkPoints,CCIsMultiCollege,CCTransferableUnitsAttempted,CCTransferableUnitsEarned,GPA_present,cc_first_course_success_ind,pre_alg_up11_c,alg_i_up11_c,alg_ii_up11_c,geo_up11_c,trig_up11_c,pre_calc_up11_c,calc_up11_c,stat_up11_c
NA,NA,571,4,1,70,70,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,52,29,0,0,0,0,0,0,0,0,0,0
NA,NA,572,1,0,73,67,0,0,0,0,0,0,0,0,0,0
3.95,3.8,571,4,1,100.5,100.5,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,1,7,7,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,63,63,0,1,0,0,0,0,0,0,0,0
2.7,2.69,571,0,1,14,0,1,0,0,1,1,1,0,0,0,0
3.35,2.67,572,3,1,88,80,1,1,0,1,1,1,0,0,0,0
NA,NA,572,4,1,64.5,64.5,0,1,0,0,0,0,0,0,0,0
3.43,3.35,576,3,1,71,64,0,1,0,0,0,1,0,0,0,0
NA,NA,571,0,1,33,26,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,43,32,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,54,54,0,1,0,0,0,0,0,0,0,0
3.07,2.18,576,3,1,21,116.99,1,1,0,0,1,1,0,0,0,0
NA,NA,571,1,1,39,32,0,0,0,1,1,1,0,0,0,0
3.1,3,572,4,1,68.5,68.5,0,1,0,0,0,1,0,0,0,0
2.07,2.88,572,1,1,103,71,1,0,0,1,1,1,0,0,0,0
3.77,3.26,576,3,1,62,62,1,1,0,0,1,1,0,0,0,0
2.46,2,572,3,1,43,43,1,1,0,0,0,1,0,0,0,0
2.49,3.07,571,0,1,96,84,1,0,0,0,1,1,0,0,0,0
NA,NA,571,0,1,80,64,0,0,0,0,0,0,0,0,0,0
2.13,2.1,571,0,1,105,89,0,0,0,1,0,0,0,0,0,0
NA,NA,571,0,1,86,72,0,0,0,0,0,0,0,0,0,0
2.64,1.27,571,0,1,7,0,1,0,0,0,0,0,0,0,0,0
3.16,2.75,572,3,1,40,40,1,1,0,0,1,1,0,0,0,0
2.57,1.7,571,3,1,31,25,1,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,68,68,0,1,0,0,0,0,0,0,0,0
2.44,2.43,576,2,1,63,63,1,1,0,1,1,0,0,0,0,0
NA,NA,571,0,1,65,50,0,0,0,0,0,0,0,0,0,0
2.71,3.38,572,2,1,87,77,1,1,0,1,1,1,0,0,0,0
1.23,1.31,571,0,1,10,3,1,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,12,12,0,1,0,0,0,0,0,0,0,0
2.16,1,572,0,1,76.5,61.5,0,0,0,0,0,0,0,0,0,0
3.69,2.76,572,3,1,67,66,1,1,0,0,1,1,0,0,0,0
NA,NA,571,2,1,36,226.98,0,1,0,0,0,0,0,0,0,0
NA,NA,576,4,1,7,7,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,32,128.99,0,1,0,0,0,0,0,0,0,0
NA,NA,576,2,1,51,51,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,88,88,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,104,267.98,0,1,0,0,0,0,0,0,0,0
2.64,1.62,576,3,1,13,13,1,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,7,7,0,1,0,0,0,0,0,0,0,0
2.73,1.7,572,0,1,83,166.99,1,0,0,0,0,0,0,0,0,0
3.18,2.28,571,3,1,77,74,1,1,0,0,1,0,0,0,0,0
NA,NA,572,3,1,4,4,0,1,0,0,0,0,0,0,0,0
3.15,2.75,572,4,1,14,14,1,1,0,0,1,0,0,0,0,0
NA,NA,576,2,1,17,17,0,1,0,0,0,0,0,0,0,0
3.67,3.4,576,4,1,23,23,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,0,3,3,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,40,40,0,1,0,0,0,0,0,0,0,0
3.6,3.06,572,4,1,39,39,1,1,0,0,1,1,0,0,0,0
NA,NA,572,0,1,7,3,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,48,48,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,34,34,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,25,19,0,1,0,0,0,0,0,0,0,0
1.5,NA,576,0,1,29,21,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
3.13,2.72,571,3,1,84,78,1,1,0,0,1,1,0,0,0,0
NA,NA,571,4,0,83,83,0,1,0,0,0,0,0,0,0,0
NA,NA,576,0,1,74,63,0,0,0,0,0,0,0,0,0,0
2.73,2.85,572,4,1,111,107,1,1,0,0,0,0,0,0,0,0
NA,NA,571,3,0,25,218.98,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,119,96,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,78,75,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,0,73,60,0,0,0,0,0,0,0,0,0,0
NA,NA,576,4,1,25,25,0,1,0,0,0,0,0,0,0,0
2.45,2,576,3,1,18,18,1,1,0,0,1,0,0,0,0,0
3.4,3.5,576,4,1,33,33,1,1,0,0,1,1,0,0,0,0
3.57,3.5,571,4,1,12,12,1,1,0,0,1,1,0,0,0,0
3.11,2,572,4,1,104,104,0,1,0,0,0,1,0,0,0,0
3.1,2.89,576,4,1,92.5,92.5,1,1,0,0,1,1,0,0,0,0
4,4,572,3,0,67,67,1,1,0,0,0,0,0,0,0,0
3.32,3.01,572,4,1,20,20,1,1,0,0,1,1,0,0,0,0
NA,NA,571,4,0,40,40,0,1,0,0,0,0,0,0,0,0
2.95,2.86,572,4,1,7,7,1,1,0,0,1,1,0,0,0,0
NA,NA,572,2,0,83,83,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,8,8,0,1,0,0,0,0,0,0,0,0
3.34,3.35,571,3,1,82,82,0,1,0,0,0,1,0,0,0,0
NA,NA,572,0,0,80.5,77.5,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,57,53,0,0,0,0,0,0,0,0,0,0
2.71,3.5,572,3,1,38,23,0,1,0,0,0,1,0,0,0,0
NA,NA,572,2,1,38,32,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,60,60,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,66,66,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,58,48,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,0,25,19,0,0,0,0,0,0,0,0,0,0
3.49,3.23,576,4,1,51,51,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,1,83,79,0,1,0,0,0,0,0,0,0,0
3.83,3.73,572,3,1,57,57,1,1,0,0,1,1,0,0,0,0
3.46,3.1,572,3,1,97.5,84,1,1,0,0,1,0,0,0,0,0
2.89,2.1,572,2,1,114,109,0,1,0,1,0,0,0,0,0,0
3.13,2.65,572,0,1,50,27,1,0,0,0,1,0,0,0,0,0
3.22,2.68,571,4,1,64.5,64.5,1,1,0,0,0,1,0,0,0,0
NA,NA,571,0,0,70,62,0,0,0,0,0,0,0,0,0,0
NA,NA,571,3,1,40,40,0,1,0,0,0,0,0,0,0,0
3.54,3.73,576,4,1,15,15,1,1,0,0,1,1,0,0,0,0
3.26,2,571,3,1,86,175.99,0,1,0,1,0,0,0,0,0,0
3.97,4,576,4,1,46,46,1,1,0,0,1,1,0,0,0,0
2.93,2.28,571,0,1,64,34,1,0,0,0,1,1,0,0,0,0
3.53,2.72,571,4,1,77,77,1,1,0,0,1,1,0,0,0,0
NA,NA,572,3,1,75,63,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,40,132.99,0,1,0,0,0,0,0,0,0,0
3.69,3.88,576,4,1,8,8,1,1,0,0,1,1,0,0,0,0
2.59,2.17,576,0,1,25,15,1,0,0,0,0,1,0,0,0,0
NA,NA,572,2,1,104,196.99,0,1,0,0,0,0,0,0,0,0
3.46,3.29,571,4,1,57,57,1,1,0,0,1,1,0,0,0,0
NA,NA,572,2,1,69,69,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,44,33,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,4,0,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,10,0,0,0,0,0,0,0,0,0,0,0
3.54,2.85,572,3,1,14,14,0,1,0,0,0,1,0,0,0,0
NA,NA,572,0,1,20,9,0,0,0,0,0,0,0,0,0,0
2.95,2.45,572,4,1,86,81,1,1,0,0,1,1,0,0,0,0
2.99,2.43,572,3,1,61,61,1,1,0,0,1,1,0,0,0,0
3.2,1.8,571,4,1,53,38,1,1,0,0,1,0,0,0,0,0
NA,NA,571,4,0,71,71,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,4,4,0,1,0,0,0,0,0,0,0,0
3.32,3.18,571,4,1,4,4,1,1,0,0,1,1,0,0,0,0
3.88,4,572,4,1,78,173.99,0,1,0,0,0,1,0,0,0,0
NA,NA,572,4,0,25,25,0,1,0,0,0,0,0,0,0,0
3.21,2.95,571,4,1,49,46,1,1,0,1,1,1,0,0,0,0
3.23,2.65,576,2,1,44,236.98,1,1,0,1,1,1,0,0,0,0
NA,NA,571,0,1,4,0,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,4,1,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,62,62,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,29,26,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,10,6,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,23,19,0,0,0,0,0,0,0,0,0,0
2,NA,571,3,1,63,63,0,1,0,0,0,0,0,0,0,0
2.77,2.65,571,4,1,78,77,1,1,0,0,0,0,0,0,0,0
2.92,1.85,571,0,1,28,20,1,0,0,0,0,1,0,0,0,0
3.51,2.58,572,3,1,61,61,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,1,100,100,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,73,67,0,1,0,0,0,0,0,0,0,0
2.09,1,571,0,1,26,3,0,0,0,0,0,0,0,0,0,0
2,NA,572,1,1,77,71,1,0,0,0,0,0,0,0,0,0
3.71,3.65,571,4,1,19,19,0,1,0,0,0,1,0,0,0,0
3.08,3.25,571,0,1,85,65,1,0,0,0,1,1,0,0,0,0
3.25,2.75,571,4,1,73.5,65.5,0,1,0,0,0,1,0,0,0,0
3.77,3.74,572,4,1,22,117.99,1,1,0,1,1,1,0,0,0,0
3.33,3.26,571,0,1,39.5,32.5,1,0,0,1,1,1,0,0,0,0
3.38,3.04,576,0,1,31,21,1,0,0,1,1,1,0,0,0,0
2.84,3.14,571,0,1,10,99.99,1,0,0,0,1,1,0,0,0,0
NA,NA,571,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
2.53,1.7,572,3,1,91,71,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,3,3,0,0,0,0,0,0,0,0,0,0
3.31,2.6,571,4,1,52.5,52.5,1,1,0,0,1,1,0,0,0,0
NA,NA,576,1,1,16,16,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,80,73,0,0,0,0,0,0,0,0,0,0
NA,NA,576,4,1,15,15,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,102,84.5,0,1,0,0,0,0,0,0,0,0
3.61,3,572,3,1,39,19,0,1,0,1,0,1,0,0,0,0
2.6,1.2,571,0,1,31,12,1,0,0,0,0,1,0,0,0,0
NA,NA,572,0,1,89,68,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,64,60,0,0,0,0,0,0,0,0,0,0
2.36,1.62,572,2,1,30,14,1,1,0,0,0,1,0,0,0,0
NA,NA,572,4,1,30,30,0,1,0,0,0,0,0,0,0,0
3.08,NA,572,2,1,65,65,1,1,0,0,0,0,0,0,0,0
NA,NA,576,4,1,37,29,0,1,0,0,0,0,0,0,0,0
3.81,3.03,571,4,1,72,67,1,1,0,0,1,1,0,0,0,0
3.86,3.76,571,3,1,73,73,1,1,0,1,1,1,0,0,0,0
NA,NA,572,3,1,9,206.98,0,1,0,0,0,0,0,0,0,0
3.09,2.9,571,1,1,91,82,1,0,0,0,1,1,0,0,0,0
2,NA,572,0,1,26,3,1,0,0,0,0,0,0,0,0,0
3.44,3.5,571,2,1,126,115,1,1,0,0,1,1,0,0,0,0
2.88,2.93,572,4,1,64,64,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,87,87,0,1,0,0,0,0,0,0,0,0
NA,NA,576,3,1,31,31,0,1,0,0,0,0,0,0,0,0
3.16,2.5,572,2,1,92,82,1,1,0,0,1,0,0,0,0,0
NA,NA,571,3,1,70,66,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,132,106,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,39,116.99,0,0,0,0,0,0,0,0,0,0
3.03,2.71,572,4,1,69,69,1,1,0,0,0,1,0,0,0,0
NA,NA,571,2,0,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,17,17,0,1,0,0,0,0,0,0,0,0
3.6,2.75,571,4,1,63.5,63.5,0,1,0,0,0,1,0,0,0,0
2.97,1.57,571,0,1,83,72,1,0,0,0,0,1,0,0,0,0
3.34,3.02,571,2,1,156.5,156.5,1,1,0,1,1,1,0,0,0,0
2.96,1.9,572,2,1,10,10,1,1,0,0,0,0,0,0,0,0
2.64,2.43,572,3,1,81,77,0,1,0,0,0,1,0,0,0,0
NA,NA,576,4,1,53,53,0,1,0,0,0,0,0,0,0,0
3.06,3.5,571,2,1,80,144.99,0,1,0,1,0,0,0,0,0,0
3.32,1.87,571,4,1,43,43,1,1,0,0,0,1,0,0,0,0
3.09,2.76,572,3,1,76,73,1,1,0,0,1,0,0,0,0,0
NA,NA,571,4,0,25,22,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,17,17,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,0,73,73,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,42,42,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,90.5,84.5,0,0,0,0,0,0,0,0,0,0
3.06,2.07,576,4,1,48,48,1,1,0,0,1,1,0,0,0,0
3.22,2.84,571,3,1,17,17,1,1,0,1,1,1,0,0,0,0
NA,NA,572,4,0,11,11,0,1,0,0,0,0,0,0,0,0
3.02,2.22,576,0,1,41,28,1,0,0,0,0,1,0,0,0,0
NA,NA,572,4,1,114.5,114.5,0,1,0,0,0,0,0,0,0,0
NA,NA,576,4,1,52,52,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,87,87,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,40,36,0,1,0,0,0,0,0,0,0,0
3.39,3,572,3,1,71,71,1,1,0,0,1,0,0,0,0,0
NA,NA,571,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,44,37,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,58,54,0,0,0,0,0,0,0,0,0,0
3.43,3.25,572,3,1,62,62,1,1,0,0,1,1,0,0,0,0
3.03,3.19,571,3,1,57,41,1,1,0,0,1,1,0,0,0,0
3.86,3.57,571,4,1,107,100,1,1,0,0,1,0,0,0,0,0
3.39,3,571,3,1,71.5,48.5,1,1,0,0,1,0,0,0,0,0
4,4,571,4,1,96,194.99,0,1,0,0,0,1,0,0,0,0
NA,NA,571,3,1,13,13,0,1,0,0,0,0,0,0,0,0
NA,NA,572,1,1,60,60,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,0,83,179.99,0,1,0,0,0,0,0,0,0,0
3.67,3.9,572,0,1,18,18,1,0,0,0,1,0,0,0,0,0
NA,NA,572,3,1,66,66,0,1,0,0,0,0,0,0,0,0
3.32,2.5,576,4,1,16,16,1,1,0,0,1,1,0,0,0,0
NA,NA,571,0,0,11,11,0,0,0,0,0,0,0,0,0,0
3.14,2.68,571,2,1,84.5,77.5,1,1,0,0,1,0,0,0,0,0
2.24,1.32,576,0,1,37,27,1,0,0,0,0,0,0,0,0,0
2.96,2.01,571,0,1,45,45,1,0,0,0,1,0,0,0,0,0
NA,NA,572,3,1,23,23,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,1,74,66,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,93.5,186.49,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,1,85.5,85.5,0,0,0,0,0,1,0,0,0,0
3.52,3.23,571,4,1,104,292.98,1,1,0,0,1,1,0,0,0,0
NA,NA,571,4,1,86.5,86.5,0,1,0,0,0,0,0,0,0,0
2.86,3.17,572,2,1,64,61,1,1,0,1,1,1,0,0,0,0
3.16,2.93,572,4,1,103,199.99,1,1,0,0,1,1,0,0,0,0
3.34,3.35,576,1,1,27,15,1,0,0,0,1,0,0,0,0,0
NA,NA,576,4,1,53,53,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,0,4,4,0,0,0,0,0,0,0,0,0,0
3.54,2.35,572,3,1,38,38,1,1,0,0,1,0,0,0,0,0
NA,NA,572,4,1,34.5,31.5,0,1,0,0,0,0,0,0,0,0
3.34,3.25,572,4,1,12,12,1,1,0,0,1,0,0,0,0,0
3.96,4,572,4,1,30,30,1,1,0,0,1,1,0,0,0,0
3.98,3.88,571,4,1,21,19,1,1,0,0,1,1,0,0,0,0
3.32,2.4,572,0,1,55,55,0,0,0,1,0,1,0,0,0,0
NA,NA,571,2,0,22,19,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,65,65,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,28,28,0,1,0,0,0,0,0,0,0,0
2.73,2.19,571,2,1,51,48,1,1,0,0,1,1,0,0,0,0
NA,NA,571,0,1,85,77,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,80,80,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,50,145.99,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,4,4,0,1,0,0,0,0,0,0,0,0
2.77,1.68,576,2,1,82,78,1,1,0,0,0,0,0,0,0,0
3.02,2.45,571,1,1,11,11,1,0,0,0,1,1,0,0,0,0
NA,NA,571,4,1,11,11,0,1,0,0,0,0,0,0,0,0
2.74,2.5,572,0,1,45,21,1,0,1,0,1,1,0,0,0,0
2.54,2.25,576,3,1,36,33,1,1,0,0,0,1,0,0,0,0
3.62,3.35,572,0,1,67,41,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,58,50,0,0,0,0,0,0,0,0,0,0
3.39,3.51,571,2,1,19,19,1,1,0,1,1,1,0,0,0,0
NA,NA,576,1,1,22,22,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,16,16,0,1,0,0,0,0,0,0,0,0
3.85,4,576,4,1,60,60,1,1,0,0,0,1,0,0,0,0
2.78,2.58,576,3,1,66.5,66.5,1,1,0,0,1,0,0,0,0,0
2.95,1.52,571,2,0,72,72,1,1,0,0,1,1,0,0,0,0
2.71,1.35,576,0,1,16,3,1,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,14,14,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,67,64,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,71,167.99,0,1,0,0,0,0,0,0,0,0
2.39,1.76,572,1,1,68,56,1,0,0,1,0,0,0,0,0,0
3.11,2.42,572,3,1,83,83,0,1,0,0,0,1,0,0,0,0
3.25,3.54,571,0,1,66,155.99,1,0,0,0,1,1,0,0,0,0
2.85,3.37,571,2,0,20,16,1,1,0,0,1,1,0,0,0,0
3.25,1.93,576,4,1,14,14,1,1,0,0,1,0,0,0,0,0
2.92,2.13,572,4,1,65,65,0,1,0,0,0,0,0,0,0,0
2.93,2.5,572,3,1,104,190.99,1,1,0,0,1,0,0,0,0,0
NA,NA,572,3,1,83,76.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,79.5,76.5,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,8,8,0,1,0,0,0,0,0,0,0,0
3.33,2.78,571,4,1,85,82,0,1,0,0,0,1,0,0,0,0
NA,NA,571,4,1,78,78,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,134,121,0,1,0,0,0,0,0,0,0,0
3.33,2.98,571,4,1,17,17,1,1,0,0,0,1,0,0,0,0
2.36,NA,572,2,1,21,13,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,15,15,0,1,0,0,0,0,0,0,0,0
2.04,0.7,572,4,1,72,61,0,1,0,0,0,0,0,0,0,0
NA,NA,576,3,1,46,46,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,61,43,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,63,257.98,0,1,0,0,0,0,0,0,0,0
3.24,2.95,572,0,1,6,3,1,0,0,0,1,1,0,0,0,0
3.52,2.43,571,1,1,7,4,1,0,0,0,1,1,0,0,0,0
3.1,2.75,576,4,1,57,54,1,1,0,0,1,1,0,0,0,0
NA,NA,572,2,0,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,39,29,0,0,0,0,0,0,0,0,0,0
2.8,2.06,572,2,1,95,85,1,1,0,1,1,0,0,0,0,0
3.4,2.85,576,4,1,54,54,1,1,0,0,1,1,0,0,0,0
1.9,0,576,0,1,59.5,41.5,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,1,103,78,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,0,16,16,0,1,0,0,0,0,0,0,0,0
3.19,2.23,572,2,1,26,23,1,1,0,1,1,1,0,0,0,0
NA,NA,571,3,0,67,67,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,60,60,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,11,11,0,1,0,0,0,0,0,0,0,0
2.51,1.7,572,2,1,107,385.97,1,1,0,0,0,0,0,0,0,0
2.81,2.65,572,1,1,10,7,0,0,0,0,0,1,0,0,0,0
2.46,2.6,576,2,1,14,14,1,1,0,1,1,1,0,0,0,0
NA,NA,572,0,1,35,32,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,40,34,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,0,41,38,0,1,0,0,0,0,0,0,0,0
2.85,1.5,576,2,1,15,15,1,1,0,0,0,1,0,0,0,0
NA,NA,572,2,0,58,55,0,1,0,0,0,0,0,0,0,0
3.36,3.47,572,3,1,35,35,1,1,0,0,1,1,0,0,0,0
3.25,2.64,571,2,1,49.5,49.5,1,1,0,0,1,1,0,0,0,0
3.1,3.02,572,0,1,23,9,1,0,0,0,0,1,0,0,0,0
3.27,3.33,571,0,1,27.5,16.5,1,0,0,1,1,1,0,0,0,0
3.34,2.4,576,2,1,63,63,1,1,0,0,0,1,0,0,0,0
NA,NA,572,3,1,81,270.98,0,1,0,0,0,0,0,0,0,0
3.4,2.98,571,2,1,82,76,1,1,0,0,1,1,0,0,0,0
3.61,3,572,4,1,58,58,1,1,0,0,1,0,0,0,0,0
2.57,1.57,576,1,1,95.5,85.5,1,0,0,0,0,0,0,0,0,0
NA,NA,571,2,0,43,36,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,0,60,58,0,1,0,0,0,0,0,0,0,0
3.46,3.34,571,2,1,107,78,1,1,0,0,1,1,0,0,0,0
3.6,NA,572,3,1,28,28,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,101.5,288.48,0,0,0,0,0,0,0,0,0,0
3.53,3.3,576,4,1,66,66,1,1,0,0,1,1,0,0,0,0
3.16,2.58,572,4,1,33,30,1,1,0,0,1,1,0,0,0,0
2.89,2.57,571,0,1,16,12,1,0,0,0,1,1,0,0,0,0
NA,NA,571,2,1,75,75,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,89,89,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,6,6,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,87,87,0,1,0,0,0,0,0,0,0,0
3.1,3,572,3,1,98,82,0,1,0,0,0,1,0,0,0,0
3.28,2.32,571,4,1,42,32,1,1,0,0,1,1,0,0,0,0
2,NA,572,4,1,115.5,109.5,1,1,0,0,0,0,0,0,0,0
3.41,2.78,576,4,1,64,64,1,1,0,0,1,1,0,0,0,0
NA,NA,576,3,1,22,22,0,1,0,0,0,0,0,0,0,0
NA,NA,571,1,1,95,86,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,15,15,0,0,0,0,0,0,0,0,0,0
3.51,2.93,572,3,1,68,61,1,1,0,0,1,0,0,0,0,0
NA,NA,571,4,1,116,212.99,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,0,62,58,0,1,0,0,0,0,0,0,0,0
3.04,2.6,571,2,1,57,153.99,1,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,39,39,0,1,0,0,0,0,0,0,0,0
3.68,3.23,571,3,1,41,41,1,1,0,1,0,1,0,0,0,0
2.56,0.95,571,2,1,17,13,1,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,34,14,0,1,0,0,0,0,0,0,0,0
NA,NA,576,0,1,37,33,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,3,3,0,0,0,0,0,0,0,0,0,0
2.51,2.5,572,3,1,77,65,0,1,0,0,0,1,0,0,0,0
3.37,3.28,572,4,1,79,79,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,0,3,3,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,61,157.99,0,1,0,0,0,0,0,0,0,0
3.53,4,572,3,1,85,85,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,85,80,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,0,65,65,0,1,0,0,0,0,0,0,0,0
3.31,2.75,572,4,1,86,279.98,1,1,0,0,0,1,0,0,0,0
NA,NA,571,4,1,55,55,0,1,0,0,0,0,0,0,0,0
2.14,2.18,572,3,1,85,82,1,1,0,0,1,1,0,0,0,0
NA,NA,572,3,1,62,62,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,34,13,0,0,0,0,0,0,0,0,0,0
3.09,NA,572,4,1,125,221.99,1,1,0,0,0,0,0,0,0,0
3.58,1,571,0,1,53,41,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,12,12,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,76,76,0,1,0,0,0,0,0,0,0,0
2.92,2.71,571,0,1,76,259.98,1,0,0,0,1,1,0,0,0,0
NA,NA,572,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,0,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,1,8,4,0,0,0,0,0,0,0,0,0,0
2.81,2.46,576,0,0,56,56,1,0,0,1,1,0,0,0,0,0
2.19,2.04,571,0,1,11,7,1,0,0,0,0,1,0,0,0,0
NA,NA,572,3,1,7,7,0,1,0,0,0,0,0,0,0,0
NA,NA,572,1,0,23,12,0,0,0,0,0,0,0,0,0,0
2.97,2.4,576,3,1,57,57,1,1,0,1,1,1,0,0,0,0
NA,NA,571,3,0,19,19,0,1,0,0,0,0,0,0,0,0
3.14,3.05,576,3,1,46,46,1,1,0,0,1,1,0,0,0,0
2.39,1.55,576,0,1,37.5,14,1,0,0,1,0,1,0,0,0,0
NA,NA,572,0,1,82,37,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,1,25,22,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,89,89,0,1,0,0,0,0,0,0,0,0
