HSLGOverallCumulativeGradePointAverage,HSLGMathematicsCumulativeGradePointAverage,CCENCRFLCollegeCode,CCENCRFLCourseMarkPoints,CCIsMultiCollege,CCTransferableUnitsAttempted,CCTransferableUnitsEarned,GPA_present,cc_first_course_success_ind,pre_alg_up11_c,alg_i_up11_c,alg_ii_up11_c,geo_up11_c,trig_up11_c,pre_calc_up11_c,calc_up11_c,stat_up11_c
3.55,2.4,572,2,1,107,95,1,1,0,0,0,1,0,0,0,0
3.34,3,571,4,1,28,24,0,1,0,1,0,0,0,0,0,0
3.03,2.47,571,0,1,86,75,0,0,0,0,0,0,0,0,0,0
2.82,1.85,571,0,1,3,3,1,0,0,0,0,1,0,0,0,0
3.65,2.93,571,0,1,87,80,1,0,0,0,1,1,0,0,0,0
NA,NA,571,2,0,13,13,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,63,61,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,0,3,3,0,0,0,0,0,0,0,0,0,0
2.85,2.49,572,3,1,75,72,1,1,0,0,1,1,0,0,0,0
NA,NA,571,2,1,98,83,0,1,0,0,0,0,0,0,0,0
3.19,2.33,571,1,1,71,71,1,0,0,0,0,1,0,0,0,0
NA,NA,571,4,0,28,28,0,1,0,0,0,0,0,0,0,0
3.7,3.25,571,3,1,10,10,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,72,69,0,1,0,0,0,0,0,0,0,0
NA,NA,572,2,1,14.5,14.5,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,67,64,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,71,68,0,1,0,0,0,0,0,0,0,0
3.14,1.94,576,2,1,19,19,1,1,0,1,0,1,0,0,0,0
3.23,2.5,576,2,1,13,13,1,1,0,0,1,1,0,0,0,0
NA,NA,572,3,1,57,57,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,0,4,4,0,1,0,0,0,0,0,0,0,0
NA,NA,576,2,0,18,18,0,1,0,0,0,0,0,0,0,0
NA,NA,571,3,0,20,20,0,1,0,0,0,0,0,0,0,0
2.58,NA,571,0,1,95,91,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,9,9,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,0,88,273.98,0,1,0,0,0,0,0,0,0,0
2.79,2.08,576,0,1,14,3,0,0,0,0,0,1,0,0,0,0
3.41,3.5,572,3,1,106,103,1,1,0,0,1,0,0,0,0,0
NA,NA,571,4,1,3,3,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,4,4,0,1,0,0,0,0,0,0,0,0
3.42,3.08,572,4,1,53,53,1,1,0,0,1,0,0,0,0,0
3.62,3.46,571,2,1,47.5,47.5,1,1,0,0,1,1,0,0,0,0
3.54,3,572,4,1,45.5,45.5,0,1,0,0,0,0,0,0,0,0
3.36,3.63,576,4,1,43,43,1,1,0,1,1,1,0,0,0,0
3.45,2.7,571,2,1,68,166.99,1,1,0,0,1,0,0,0,0,0
3.55,2.96,572,3,1,14,14,1,1,0,0,1,1,0,0,0,0
3.35,2.7,572,3,0,28,19,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,0,54,54,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,26,26,0,1,0,0,0,0,0,0,0,0
3.74,3.17,571,3,1,94,94,1,1,0,0,1,1,0,0,0,0
3.39,3.25,572,3,1,79,79,1,1,0,0,1,0,0,0,0,0
3.07,3,571,4,1,60,60,1,1,0,0,1,0,0,0,0,0
2.74,2.2,571,4,1,62,62,1,1,0,0,1,1,0,0,0,0
3.25,2.94,572,0,1,77,69,1,0,0,1,1,1,0,0,0,0
2.59,3.2,572,1,1,20,14,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,0,18,18,0,1,0,0,0,0,0,0,0,0
NA,NA,571,4,1,7,7,0,1,0,0,0,0,0,0,0,0
3.29,3.18,572,3,1,69,65,1,1,0,0,1,1,0,0,0,0
0.67,NA,572,2,1,56,34,0,1,0,0,0,0,0,0,0,0
2.13,1.85,571,0,1,99,86,0,0,0,1,0,0,0,0,0,0
NA,NA,571,0,1,77,70,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,66,66,0,1,0,0,0,0,0,0,0,0
2.75,2.1,576,4,1,50,50,0,1,0,0,0,0,0,0,0,0
2.18,1.15,571,1,1,41,41,1,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,72,72,0,1,0,0,0,0,0,0,0,0
NA,NA,572,1,0,67,64,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,3,0,0,0,0,0,0,0,0,0,0,0
NA,NA,571,2,1,51,51,0,1,0,0,0,0,0,0,0,0
3.41,2.9,571,2,0,61,61,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,0,7,7,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,0,37,37,0,1,0,0,0,0,0,0,0,0
2.29,1.17,571,0,1,23,8,1,0,0,0,0,0,0,0,0,0
2.62,1.8,572,2,1,72,61,1,1,0,0,0,1,0,0,0,0
